datetime,wind_mw,solar_mw,gas_mw,coal_mw,nuclear_mw,fuel_total_mw
2025-01-23 13:00:00,10808.82282,18797.667598,15788.407037,4393.365663999999,5111.898937,54900.162055999994
2025-01-23 14:00:00,10438.230728,16868.371721000003,15949.422191,4384.548782000001,5112.7822240000005,52753.355646
2025-01-23 15:00:00,10490.824660999999,15255.551583,16316.74315,4261.344653,5112.726092,51437.190139
2025-01-23 16:00:00,10470.612511,13291.990306,17790.923194,4413.027966,5114.202872,51080.756849
2025-01-23 17:00:00,9227.440934,3809.5037829999997,27387.217265,7008.539336,5114.526635,52547.227953
2025-01-23 18:00:00,7416.534455,22.442567,33042.312849,8846.343394,5113.738089,54441.371353999995
2025-01-23 19:00:00,7231.5289250000005,0.04000000000000001,35551.802144,8941.981989,5113.941448,56839.294506
2025-01-23 20:00:00,5977.622169,0.0070290000000000005,36664.362324,9170.125849,5113.695654,56925.813025
2025-01-23 21:00:00,4913.345521,0.007725,37558.977405,9552.174414000001,5113.588949,57138.094013999995
2025-01-23 22:00:00,4498.925635,0.342165,38004.037943,9464.239275,5113.141798,57080.686816
2025-01-23 23:00:00,3650.207303,0.000138,28014.286069,6994.473044,3834.810078,42493.776632
2025-01-24 00:00:00,6476.037934,0.003982,35472.622869,9312.411789000002,5112.520264999999,56373.596839000005
2025-01-24 01:00:00,8949.926401,0.011164,33952.04602,9242.916965,5113.046244,57257.946794
2025-01-24 02:00:00,11757.245953,0.009051,32281.396276000003,9200.124338,5112.51259,58351.288208000005
2025-01-24 03:00:00,14967.386811,0.004775,30667.314942999998,9220.081987000001,5112.420139999999,59967.208656
2025-01-24 04:00:00,17403.675295999998,0.004484,30545.791602000005,9219.350165,5112.458417000001,62281.279964
2025-01-24 05:00:00,19420.045556,0.153489,31049.496293,9155.17582,5113.177972,64738.04913000001
2025-01-24 06:00:00,21023.414248,0.413236,31790.474917,9206.662927,5112.837592,67133.80292
2025-01-24 07:00:00,22072.169247,708.512195,31149.374408,9195.618185,5112.720696,68238.39473100001
2025-01-24 08:00:00,21592.557576,10585.30708,22925.222392,7942.779144,5113.195912,68159.062104
2025-01-24 09:00:00,17138.020265,20893.659639999998,14105.991004,6707.3595860000005,5115.053496,63960.08399099999
2025-01-24 10:00:00,17802.272,20691.701414000003,10018.219305999999,6369.290089,5115.63885,59997.12165900001
2025-01-24 11:00:00,19096.025497,18946.964222,7991.147659,5641.542524,5115.66151,56791.341412
2025-01-24 12:00:00,18898.242066000003,18392.064168999997,7770.388013000001,4482.803367,5116.616026,54660.113641
2025-01-24 13:00:00,19002.845993,17737.599333,7423.909896,3947.9037579999995,5115.649020000001,53227.907999999996
2025-01-24 14:00:00,19015.378146000003,17016.969766,7303.408549999999,3929.459268,5116.122458999999,52381.338188999995
2025-01-24 15:00:00,19164.659664,15573.895978999999,7262.684969,3929.513695,5115.613322,51046.367629
2025-01-24 16:00:00,20237.622573,12456.333528,7819.663885,4046.857258,5116.870504,49677.34774799999
2025-01-24 17:00:00,22704.809707,3561.1287369999995,12026.495540999998,6609.05699,5116.576102999999,50018.06707799999
2025-01-24 18:00:00,24989.974166,31.561782,13682.496473,8695.219118,5117.048982,52516.300521
2025-01-24 19:00:00,25819.439902,0.247227,14164.623004,9109.439203,5116.510095000001,54210.259431
2025-01-24 20:00:00,26486.302804,0.121978,14528.274357,9155.734672999999,5116.02742,55286.461231999994
2025-01-24 21:00:00,26636.448915,0.25617,14705.571115,9133.008582,5115.155546,55590.440328000004
2025-01-24 22:00:00,26503.977653,0.205896,14622.271428,9085.720304999999,5114.948009,55327.123290999996
2025-01-24 23:00:00,20028.854861,0.082508,10473.502421,6720.7656050000005,3838.062981,41061.268376
